2674.00,463.00,-71.69,46.00
2430.00,741.00,-73.78,62.00
3524.00,1630.00,-70.12,63.00
2159.00,758.00,-74.12,58.00
3290.00,718.00,-72.81,51.00
1346.00,799.00,-72.80,49.00
3644.00,1001.00,-66.86,61.00
856.00,673.00,-73.48,42.00
3555.00,1885.00,-68.70,61.00
3169.00,463.00,-77.41,71.00
2150.00,712.00,-74.04,74.00
1351.00,684.00,-74.34,51.00
1710.00,900.00,-75.42,40.00
3555.00,1706.00,-65.95,65.00
1188.00,462.00,-82.12,18.00
3553.00,2820.00,-70.86,38.00
900.00,909.00,-71.71,35.00
3465.00,1035.00,-67.71,74.00
3555.00,2513.00,-71.92,63.00
2070.00,405.00,-79.33,31.00
3330.00,956.00,-74.61,76.00
939.00,662.00,-77.87,42.00
2928.00,726.00,-78.61,48.00
1260.00,900.00,-73.77,43.00
3283.00,885.00,-63.04,63.00
1689.00,394.00,-74.20,28.00
3110.00,585.00,-73.70,58.00
3705.00,1080.00,-65.21,86.00
1935.00,405.00,-77.37,37.00
3555.00,1035.00,-66.86,71.00
1385.00,683.00,-73.25,58.00
1581.00,381.00,-73.50,39.00
1389.00,648.00,-72.83,60.00
2791.00,907.00,-71.89,74.00
3013.00,503.00,-75.73,36.00
2834.00,907.00,-73.45,80.00
3029.00,590.00,-74.96,51.00
714.00,909.00,-54.07,21.00
3463.00,894.00,-71.12,68.00
3555.00,1001.00,-66.11,61.00
1747.00,397.00,-70.86,22.00
3141.00,758.00,-68.30,56.00
2238.00,370.00,-78.59,22.00
849.00,445.00,-80.32,27.00
897.00,400.00,-76.22,28.00
3689.00,1705.00,-70.30,66.00
1214.00,911.00,-72.02,41.00
3167.00,417.00,-78.85,70.00
1336.00,720.00,-73.01,58.00
3218.00,463.00,-74.74,96.00
1623.00,705.00,-75.53,38.00
3109.00,540.00,-77.06,57.00
786.00,478.00,-75.61,32.00
3065.00,689.00,-69.26,66.00
2754.00,480.00,-76.10,52.00
3314.00,752.00,-72.05,50.00
2250.00,900.00,-75.85,31.00
2568.00,732.00,-72.34,44.00
3555.00,2859.00,-70.37,35.00
2025.00,810.00,-70.71,58.00
2300.00,695.00,-72.98,74.00
3511.00,1001.00,-67.10,65.00
3544.00,1754.00,-66.50,64.00
2655.00,900.00,-73.02,66.00
3599.00,2820.00,-69.68,38.00
2115.00,900.00,-73.88,34.00
3016.00,547.00,-77.32,41.00
2340.00,900.00,-76.40,42.00
2520.00,900.00,-74.05,31.00
2204.00,365.00,-79.67,29.00
3690.00,2205.00,-74.44,54.00
3600.00,2565.00,-64.70,48.00
2927.00,503.00,-76.66,40.00
3690.00,2115.00,-73.94,83.00
674.00,629.00,-75.57,40.00
1397.00,855.00,-71.31,41.00
3600.00,1665.00,-66.30,55.00
3598.00,961.00,-64.91,57.00
2887.00,496.00,-76.43,41.00
1267.00,461.00,-78.67,22.00
2745.00,873.00,-71.45,62.00
3690.00,2340.00,-76.12,71.00
3599.00,1634.00,-67.23,56.00
1395.00,391.00,-73.69,48.00
3600.00,1035.00,-65.76,60.00
2025.00,540.00,-76.64,60.00
3693.00,2854.00,-72.43,38.00
1755.00,900.00,-76.43,44.00
2571.00,659.00,-71.21,60.00
2052.00,856.00,-73.86,60.00
3690.00,2385.00,-74.24,82.00
2655.00,495.00,-73.31,42.00
3150.00,495.00,-75.72,85.00
3439.00,1001.00,-70.97,71.00
2206.00,659.00,-73.01,76.00
765.00,665.00,-75.29,41.00
1709.00,727.00,-73.40,35.00
3555.00,2700.00,-68.45,49.00
1901.00,398.00,-77.41,43.00
3508.00,962.00,-68.13,73.00
3555.00,2250.00,-68.07,43.00
3555.00,1665.00,-68.68,57.00
2955.00,694.00,-76.40,35.00
2250.00,405.00,-79.24,28.00
1499.00,452.00,-75.07,37.00
3071.00,631.00,-70.24,58.00
2115.00,765.00,-71.79,53.00
3646.00,2421.00,-70.15,55.00
3374.00,862.00,-70.27,63.00
1955.00,761.00,-71.85,53.00
3645.00,2655.00,-66.16,45.00
1486.00,390.00,-75.89,59.00
1124.00,909.00,-71.63,36.00
2340.00,405.00,-77.57,44.00
1167.00,659.00,-77.42,43.00
1435.00,660.00,-74.97,61.00
3515.00,2354.00,-72.43,58.00
668.00,860.00,-60.93,24.00
758.00,911.00,-61.26,25.00
2520.00,462.00,-81.64,30.00
3371.00,782.00,-76.05,61.00
928.00,862.00,-76.64,34.00
1528.00,704.00,-73.09,40.00
2025.00,675.00,-71.30,70.00
2430.00,405.00,-75.53,48.00
1485.00,900.00,-75.82,43.00
719.00,629.00,-78.26,42.00
1665.00,900.00,-76.64,50.00
1894.00,707.00,-71.79,56.00
3555.00,2655.00,-67.70,55.00
3690.00,1845.00,-69.22,80.00
810.00,667.00,-73.37,40.00
2341.00,739.00,-71.59,60.00
3645.00,2610.00,-64.11,42.00
1848.00,708.00,-72.99,51.00
3365.00,822.00,-74.17,55.00
2480.00,659.00,-72.34,65.00
3690.00,1800.00,-70.08,77.00
2082.00,796.00,-72.79,62.00
3689.00,2751.00,-66.40,42.00
2970.00,540.00,-77.09,48.00
3555.00,1980.00,-69.25,79.00
3375.00,906.00,-70.30,70.00
3690.00,1530.00,-63.54,62.00
3114.00,854.00,-68.89,58.00
3192.00,394.00,-76.20,77.00
1382.00,801.00,-70.60,48.00
3690.00,2430.00,-69.10,58.00
1753.00,708.00,-73.72,43.00
917.00,769.00,-73.49,50.00
3464.00,933.00,-69.14,68.00
644.00,555.00,-73.66,41.00
2795.00,939.00,-73.61,66.00
2299.00,655.00,-72.07,68.00
2565.00,405.00,-76.29,43.00
1440.00,900.00,-71.83,44.00
990.00,900.00,-72.57,42.00
943.00,750.00,-74.91,44.00
3555.00,2754.00,-68.82,48.00
1795.00,396.00,-72.90,22.00
667.00,760.00,-70.28,24.00
3332.00,911.00,-69.77,69.00
3600.00,1845.00,-66.04,62.00
1033.00,740.00,-78.10,41.00
3689.00,1887.00,-69.93,83.00
2386.00,659.00,-71.71,55.00
1620.00,900.00,-77.44,48.00
3168.00,668.00,-69.32,64.00
1271.00,405.00,-79.70,39.00
860.00,705.00,-74.99,43.00
3687.00,1935.00,-67.87,77.00
